panel,outcome,stage_level,years,predicted
mri_only,CDRSUM,Stage 0,5.414,0.0892
mri_only,CDRSUM,Stage 0,5.672,0.1056
mri_only,CDRSUM,Stage 0,5.931,0.122
mri_only,CDRSUM,Stage 0,6.19,0.1384
mri_only,CDRSUM,Stage 0,6.448,0.1548
mri_only,CDRSUM,Stage 0,6.707,0.1712
mri_only,CDRSUM,Stage 0,6.966,0.1876
mri_only,CDRSUM,Stage 0,7.224,0.204
mri_only,CDRSUM,Stage 0,7.483,0.2204
mri_only,CDRSUM,Stage 0,7.741,0.2368
mri_only,CDRSUM,Stage 0,8.0,0.2532
mri_only,CDRSUM,Stage 2,0.5,0.5438
mri_only,CDRSUM,Stage 2,0.759,0.6664
mri_only,CDRSUM,Stage 2,1.017,0.789
mri_only,CDRSUM,Stage 2,1.276,0.9116
mri_only,CDRSUM,Stage 2,1.534,1.0343
mri_only,CDRSUM,Stage 2,1.793,1.1569
mri_only,CDRSUM,Stage 2,2.052,1.2795
mri_only,CDRSUM,Stage 2,2.31,1.4021
mri_only,CDRSUM,Stage 2,2.569,1.5248
mri_only,CDRSUM,Stage 2,2.828,1.6474
mri_only,CDRSUM,Stage 2,3.086,1.77
mri_only,CDRSUM,Stage 2,3.345,1.8926
mri_only,CDRSUM,Stage 2,3.603,2.0153
mri_only,CDRSUM,Stage 2,3.862,2.1379
mri_only,CDRSUM,Stage 2,4.121,2.2605
mri_only,CDRSUM,Stage 2,4.379,2.3831
mri_only,CDRSUM,Stage 2,4.638,2.5058
mri_only,CDRSUM,Stage 2,4.897,2.6284
mri_only,CDRSUM,Stage 2,5.155,2.751
mri_only,CDRSUM,Stage 2,5.414,2.8736
mri_only,CDRSUM,Stage 2,5.672,2.9963
mri_only,CDRSUM,Stage 2,5.931,3.1189
mri_only,CDRSUM,Stage 2,6.19,3.2415
mri_only,CDRSUM,Stage 2,6.448,3.3641
mri_only,CDRSUM,Stage 2,6.707,3.4868
mri_only,CDRSUM,Stage 2,6.966,3.6094
mri_only,CDRSUM,Stage 2,7.224,3.732
mri_only,CDRSUM,Stage 2,7.483,3.8546
mri_only,CDRSUM,Stage 2,7.741,3.9773
mri_only,CDRSUM,Stage 2,8.0,4.0999
mri_only,CDRSUM,Stage 5,0.5,1.6931
mri_only,CDRSUM,Stage 5,0.759,1.9751
mri_only,CDRSUM,Stage 5,1.017,2.257
mri_only,CDRSUM,Stage 5,1.276,2.539
mri_only,CDRSUM,Stage 5,1.534,2.8209
mri_only,CDRSUM,Stage 5,1.793,3.1029
mri_only,CDRSUM,Stage 5,2.052,3.3849
mri_only,CDRSUM,Stage 5,2.31,3.6668
mri_only,CDRSUM,Stage 5,2.569,3.9488
mri_only,CDRSUM,Stage 5,2.828,4.2308
mri_only,CDRSUM,Stage 5,3.086,4.5127
mri_only,CDRSUM,Stage 5,3.345,4.7947
mri_only,CDRSUM,Stage 5,3.603,5.0766
mri_only,CDRSUM,Stage 5,3.862,5.3586
mri_only,CDRSUM,Stage 5,4.121,5.6406
mri_only,CDRSUM,Stage 5,4.379,5.9225
mri_only,CDRSUM,Stage 5,4.638,6.2045
mri_only,CDRSUM,Stage 5,4.897,6.4865
mri_only,CDRSUM,Stage 5,5.155,6.7684
mri_only,CDRSUM,Stage 5,5.414,7.0504
mri_only,CDRSUM,Stage 5,5.672,7.3323
mri_only,CDRSUM,Stage 5,5.931,7.6143
mri_only,CDRSUM,Stage 5,6.19,7.8963
mri_only,CDRSUM,Stage 5,6.448,8.1782
mri_only,CDRSUM,Stage 5,6.707,8.4602
mri_only,CDRSUM,Stage 5,6.966,8.7421
mri_only,CDRSUM,Stage 5,7.224,9.0241
mri_only,CDRSUM,Stage 5,7.483,9.3061
mri_only,CDRSUM,Stage 5,7.741,9.588
mri_only,CDRSUM,Stage 5,8.0,9.87
mri_amyloid,MMSE,Stage 0,0.5,29.7514
mri_amyloid,MMSE,Stage 0,0.759,29.7602
mri_amyloid,MMSE,Stage 0,1.017,29.769
mri_amyloid,MMSE,Stage 0,1.276,29.7778
mri_amyloid,MMSE,Stage 0,1.534,29.7866
mri_amyloid,MMSE,Stage 0,1.793,29.7954
mri_amyloid,MMSE,Stage 0,2.052,29.8042
mri_amyloid,MMSE,Stage 0,2.31,29.813
mri_amyloid,MMSE,Stage 0,2.569,29.8218
mri_amyloid,MMSE,Stage 0,2.828,29.8307
mri_amyloid,MMSE,Stage 0,3.086,29.8395
mri_amyloid,MMSE,Stage 0,3.345,29.8483
mri_amyloid,MMSE,Stage 0,3.603,29.8571
mri_amyloid,MMSE,Stage 0,3.862,29.8659
mri_amyloid,MMSE,Stage 0,4.121,29.8747
mri_amyloid,MMSE,Stage 0,4.379,29.8835
mri_amyloid,MMSE,Stage 0,4.638,29.8923
mri_amyloid,MMSE,Stage 0,4.897,29.9011
mri_amyloid,MMSE,Stage 0,5.155,29.9099
mri_amyloid,MMSE,Stage 0,5.414,29.9187
mri_amyloid,MMSE,Stage 0,5.672,29.9275
mri_amyloid,MMSE,Stage 0,5.931,29.9363
mri_amyloid,MMSE,Stage 0,6.19,29.9451
mri_amyloid,MMSE,Stage 0,6.448,29.9539
mri_amyloid,MMSE,Stage 0,6.707,29.9628
mri_amyloid,MMSE,Stage 0,6.966,29.9716
mri_amyloid,MMSE,Stage 0,7.224,29.9804
mri_amyloid,MMSE,Stage 0,7.483,29.9892
mri_amyloid,MMSE,Stage 0,7.741,29.998
mri_amyloid,MMSE,Stage 0,8.0,30.0068
mri_amyloid,MMSE,Stage 3,0.5,28.8045
mri_amyloid,MMSE,Stage 3,0.759,28.6867
mri_amyloid,MMSE,Stage 3,1.017,28.5689
mri_amyloid,MMSE,Stage 3,1.276,28.4511
mri_amyloid,MMSE,Stage 3,1.534,28.3334
mri_amyloid,MMSE,Stage 3,1.793,28.2156
mri_amyloid,MMSE,Stage 3,2.052,28.0978
mri_amyloid,MMSE,Stage 3,2.31,27.98
mri_amyloid,MMSE,Stage 3,2.569,27.8622
mri_amyloid,MMSE,Stage 3,2.828,27.7444
mri_amyloid,MMSE,Stage 3,3.086,27.6266
mri_amyloid,MMSE,Stage 3,3.345,27.5088
mri_amyloid,MMSE,Stage 3,3.603,27.391
mri_amyloid,MMSE,Stage 3,3.862,27.2732
mri_amyloid,MMSE,Stage 3,4.121,27.1554
mri_amyloid,MMSE,Stage 3,4.379,27.0376
mri_amyloid,MMSE,Stage 3,4.638,26.9198
mri_amyloid,MMSE,Stage 3,4.897,26.802
mri_amyloid,MMSE,Stage 3,5.155,26.6842
mri_amyloid,MMSE,Stage 3,5.414,26.5664
mri_amyloid,MMSE,Stage 3,5.672,26.4486
mri_amyloid,MMSE,Stage 3,5.931,26.3309
mri_amyloid,MMSE,Stage 3,6.19,26.2131
mri_amyloid,MMSE,Stage 3,6.448,26.0953
mri_amyloid,MMSE,Stage 3,6.707,25.9775
mri_amyloid,MMSE,Stage 3,6.966,25.8597
mri_amyloid,MMSE,Stage 3,7.224,25.7419
mri_amyloid,MMSE,Stage 3,7.483,25.6241
mri_amyloid,MMSE,Stage 3,7.741,25.5063
mri_amyloid,MMSE,Stage 3,8.0,25.3885
mri_amyloid,MMSE,Stage 6,0.5,27.8577
mri_amyloid,MMSE,Stage 6,0.759,27.6133
mri_amyloid,MMSE,Stage 6,1.017,27.3689
mri_amyloid,MMSE,Stage 6,1.276,27.1245
mri_amyloid,MMSE,Stage 6,1.534,26.8801
mri_amyloid,MMSE,Stage 6,1.793,26.6357
mri_amyloid,MMSE,Stage 6,2.052,26.3913
mri_amyloid,MMSE,Stage 6,2.31,26.1469
