panel,outcome,model_type,parameter,beta,SE,t_value,ci_95_low,ci_95_high,p_value,significant,n_subjects,n_observations,formula
mri_amyloid,MMSE,full,Group x years_since_baseline Cov,0.219952,0.031447,6.9944,0.158317,0.281586,<0.001,True,589,2466,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,MMSE,full,years_since_baseline Var,0.212968,0.029466,7.2275,0.155214,0.270721,<0.001,True,589,2466,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,Intercept,1.037292,0.52989,1.9576,-0.001273,2.075857,0.050,False,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,C(sex)[T.M],0.08933,0.09438,0.9465,-0.095651,0.27431,0.344,False,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,stage,0.124687,0.025009,4.9858,0.075671,0.173703,<0.001,True,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,years_since_baseline,-0.050545,0.031188,-1.6207,-0.111672,0.010582,0.105,False,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,stage:years_since_baseline,0.143215,0.012228,11.7116,0.119248,0.167182,<0.001,True,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,age_at_baseline,-0.008161,0.006252,-1.3055,-0.020414,0.004091,0.192,False,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,education_years,-0.04152,0.018268,-2.2728,-0.077325,-0.005716,0.023,True,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,Group Var,1.513949,0.179068,8.4546,1.162982,1.864916,<0.001,True,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,Group x years_since_baseline Cov,0.190013,0.055042,3.4522,0.082133,0.297892,<0.001,True,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_amyloid,CDRSUM,full,years_since_baseline Var,0.523756,0.051115,10.2466,0.423572,0.62394,<0.001,True,649,3034,CDRSUM ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
